geom_x_y;Type Mobilier;Libelle Mobilier;Geometry
48.8476788021, 2.32795102851;WCH;Sanisette handicapée;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.327961068494818, 48.84768658619006], [2.327964476896716, 48.84767373595845]], [[2.327937578204314, 48.847683868300635], [2.327940986746657, 48.84767102715241]], [[2.327964474034537, 48.84767374018479], [2.327964653057686, 48.84767237384533], [2.327964469501747, 48.84767100756639], [2.327963929899285, 48.84766968316465], [2.327963049503659, 48.84766844047908], [2.327961855695301, 48.84766731809071], [2.327960384031087, 48.84766634891575], [2.327958680832559, 48.84766556371304], [2.327956795965436, 48.8476649851483], [2.327954788016647, 48.84766463157139], [2.327952717754685, 48.847664513508754], [2.327950647448136, 48.84766463465246], [2.327948640729543, 48.8476649912307], [2.327946757826377, 48.847665572277286], [2.327945057196035, 48.847666360081305], [2.327943588849139, 48.847667330906056], [2.327942398982157, 48.84766845552892], [2.327941522483323, 48.847669699061036], [2.327940986747193, 48.847671024274725]], [[2.327961065633961, 48.84768658331214], [2.327960529080716, 48.84768790807624], [2.327959652582074, 48.84768915115885], [2.327958462033834, 48.84769027479263], [2.32795699436788, 48.847691245078046], [2.327955293055623, 48.84769203243252], [2.32795341151416, 48.84769261302967], [2.327951405612081, 48.84769296915841], [2.327949335985628, 48.84769309030213], [2.327947265722513, 48.84769297214948], [2.327945258590202, 48.84769261857246], [2.327943375084573, 48.84769204108674], [2.327941671749196, 48.84769125579385], [2.327940200902022, 48.847690287607875], [2.327939006412287, 48.84768916566885], [2.327938126016755, 48.847687923972316], [2.327937584915904, 48.84768660001995], [2.327937400679205, 48.84768523464019], [2.327937578204314, 48.847683868300635]]]}"
48.8714376276, 2.32535547861;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.325366363420354, 48.871442143555484], [2.325356864469238, 48.87142919313529]], [[2.325344593069786, 48.871433108910935], [2.325344182779358, 48.87143237820939], [2.325343969482557, 48.871431611647346], [2.325343960262608, 48.87143083224692], [2.325344154432305, 48.871430063389155], [2.325344547623756, 48.871429328454646], [2.325345127699063, 48.871428649384384], [2.32534587652263, 48.87142804623024], [2.325346771460542, 48.87142753778471], [2.325347786471851, 48.87142713861326], [2.325348890608526, 48.87142686121255], [2.325350051151249, 48.87142671430214], [2.325351232655613, 48.87142670102577], [2.325352399677586, 48.87142682290853], [2.325353517319803, 48.87142707572026], [2.325354551776221, 48.871427452083346], [2.325355471831836, 48.871427940753684], [2.325356250771136, 48.87142852680054], [2.325356864469238, 48.87142919313529]], [[2.325354093517093, 48.87144606310926], [2.325344594568424, 48.871433112688045]], [[2.325366363419904, 48.87144214544395], [2.325366773710738, 48.871442876145416], [2.325366987007939, 48.87144364270745], [2.325366996228251, 48.871444422107864], [2.325366802058849, 48.87144519096569], [2.325366408731283, 48.871445925900254], [2.325365828792279, 48.87144660542026], [2.325365079968804, 48.871447208034944], [2.325364185030704, 48.87144771657056], [2.325363170019106, 48.87144811574217], [2.325362065882038, 48.87144839314301], [2.325360905338714, 48.87144854059312], [2.325359723833963, 48.87144855333001], [2.325358556811463, 48.871448431447305], [2.325357439168741, 48.87144817863566], [2.325356404711868, 48.871447802272584], [2.325355484655877, 48.87144731360227], [2.325354705716292, 48.871446727555394], [2.325354092018002, 48.87144606122063]]]}"
48.8754143009, 2.31509559151;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.315102684317623, 48.875407299160486], [2.315082749455901, 48.875413149832745]], [[2.31508828963178, 48.875421366660525], [2.315083074454488, 48.87542145539727], [2.315079291184896, 48.87541908589012], [2.315079156521032, 48.87541564596661], [2.315082749455901, 48.875413149832745]], [[2.315108215769166, 48.87541551976254], [2.315088294674611, 48.8754213699888]], [[2.315102681452955, 48.87540730293688], [2.315103803856386, 48.87540705054856], [2.315104976098718, 48.87540693045287], [2.315106161913973, 48.87540694597008], [2.315107325446654, 48.87540709709329], [2.315108432343241, 48.87540737860003], [2.315109447978632, 48.87540778283981], [2.315110341820061, 48.875408296857174], [2.315111087289651, 48.87540890490974], [2.315111661900295, 48.8754095894573], [2.315112047392849, 48.87541032927352], [2.315112233143312, 48.87541110196447], [2.315112212618061, 48.875411884237685], [2.315111987054728, 48.8754126521728], [2.315111563143845, 48.875413382749706], [2.315110953983074, 48.875414054118615], [2.315110177577691, 48.87541464524005], [2.315109257111946, 48.875415138852425], [2.315108220949811, 48.87541551976356]]]}"
48.8843683247, 2.32914271644;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.329155280566773, 48.88437012881593], [2.32913966942353, 48.88436008283726]], [[2.32913014736337, 48.88436651987617], [2.329129372541511, 48.884365925761756], [2.329128765861241, 48.88436525180388], [2.329128346000137, 48.8843645186871], [2.329128125226686, 48.88436374889407], [2.329128110082327, 48.8843629651769], [2.329128302199427, 48.88436219154626], [2.329128694756152, 48.88436145228203], [2.329129276431416, 48.88436076842639], [2.329130028813404, 48.88436016192029], [2.329130929127471, 48.88435965101736], [2.329131950917918, 48.88435925037381], [2.329133062547659, 48.88435897347658], [2.329134229926149, 48.88435882787706], [2.329135418145215, 48.88435881797923], [2.32913659134284, 48.884358944140295], [2.329137712975817, 48.88435920303034], [2.329138749228865, 48.88435958655351], [2.32913966942353, 48.88436008283726]], [[2.329145761915498, 48.88437656675564], [2.329130150226714, 48.884366520865555]], [[2.329155286975422, 48.88437012971564], [2.329156062479515, 48.88437072338028], [2.329156669160222, 48.88437139733802], [2.32915708915816, 48.88437213045473], [2.329157309795651, 48.88437290078723], [2.329157324258774, 48.88437368396479], [2.329157132142069, 48.88437445768541], [2.329156739585591, 48.884375197399365], [2.329156158728766, 48.884375880715616], [2.329155406210504, 48.88437648722189], [2.329154505214508, 48.88437699866454], [2.329153483423966, 48.8843773987687], [2.32915237261207, 48.884377675666215], [2.329151204414972, 48.8843778217155], [2.329150016195513, 48.88437783125377], [2.329148843815553, 48.88437770509291], [2.329147722045757, 48.88437744611305], [2.329146685928553, 48.8843770630396], [2.329145765597147, 48.88437656675589]]]}"
48.8839735603, 2.3317679631;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.331775962539525, 48.883966914884915], [2.331755399219007, 48.883971734004064]], [[2.331759967721223, 48.883980207349154], [2.331754756749977, 48.88398003138201], [2.331751259493241, 48.88397747764004], [2.331751525629975, 48.88397404054286], [2.331755399219007, 48.883971734004064]], [[2.331780529545093, 48.88397538634064], [2.331759966221511, 48.8839802054606]], [[2.331775955312755, 48.88396691389538], [2.331781166964529, 48.883967089411925], [2.331784663540231, 48.88396964369253], [2.331784397405873, 48.883973080250215], [2.331780523818032, 48.88397538723962]]]}"
48.8655627804, 2.36508858479;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.36508601219206, 48.86555446713875], [2.365078386489983, 48.86556794900308]], [[2.365091157375873, 48.86557109262165], [2.365090646762374, 48.86557180047367], [2.365089957958172, 48.865572438675535], [2.365089111398692, 48.865572988607354], [2.365088132154511, 48.86557343299696], [2.365087051704751, 48.865573758437485], [2.365085901530506, 48.86557395502927], [2.365084717340868, 48.86557401736797], [2.365083535119051, 48.865573942746984], [2.365082389897159, 48.86557373385559], [2.365081317663395, 48.86557339688997], [2.365080349501174, 48.86557294200435], [2.365079516087309, 48.86557238348966], [2.365078842511379, 48.865571737976325], [2.365078349093925, 48.865571025063545], [2.365078051249531, 48.86557026624017], [2.365077957305994, 48.8655694849752], [2.365078069866164, 48.86556870455909], [2.365078386489983, 48.86556794900308]], [[2.365098786074198, 48.86555761165502], [2.365091160375102, 48.86557109352019]], [[2.365086009330143, 48.865554468038724], [2.365086519943782, 48.865553760636374], [2.365087209429046, 48.86555312198472], [2.365088056124766, 48.86555257250253], [2.365089034550452, 48.86555212766348], [2.365090115817561, 48.86555180222273], [2.365091265173443, 48.8655516056311], [2.365092449499099, 48.86555154374195], [2.365093632265367, 48.86555161791307], [2.365094777623103, 48.86555182680432], [2.365095849856743, 48.865552164219444], [2.365096817882142, 48.86555261865535], [2.365097650614343, 48.86555317717008], [2.365098324190567, 48.86555382322283], [2.365098817608138, 48.86555453613553], [2.365099116270287, 48.8655552944191], [2.365099210077823, 48.8655560756841], [2.365099096836486, 48.86555685610038], [2.365098780213053, 48.865557611656456]]]}"
48.8626724963, 2.35935460868;WCG;Sanisette grand modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.359347135809224, 48.86268351005105], [2.359372440772162, 48.86266983602574]], [[2.359336773321179, 48.86267515781771], [2.359362078282716, 48.8626614837947]], [[2.359347134444965, 48.862683507173635], [2.359341143731992, 48.862684701758475], [2.359335627299139, 48.86268275095607], [2.359333816732468, 48.86267879846496], [2.359336773321179, 48.86267515781771]], [[2.359372445814941, 48.86266983548521], [2.359375403218317, 48.862666195376356], [2.359373593330336, 48.86266224234619], [2.359368077579748, 48.862660290556], [2.359362083326134, 48.86266148469301]]]}"
48.8602120746, 2.35026638774;WCPC;Sanisette petit modèle type Champs Elysées;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.35027532125561, 48.860215361625755], [2.350264119129144, 48.86021865433224]], [[2.350264111904468, 48.86021864956693], [2.350262764202252, 48.86021895583314], [2.350261356490245, 48.86021910311484], [2.350259931290122, 48.860219087000715], [2.350258532215089, 48.8602189076657], [2.35025720097167, 48.860218570590526], [2.350255979131461, 48.86021808647186], [2.350254903360518, 48.860217469603896], [2.350254005692102, 48.86021673850803], [2.35025331420821, 48.8602159162024], [2.350252850040334, 48.86021502705491], [2.350252626960983, 48.86021409822199], [2.35025265124677, 48.86021315731059], [2.350252923178085, 48.860212234176515], [2.35025343390321, 48.86021135633852], [2.350254167619134, 48.86021054960753], [2.350255102662364, 48.86020983988504], [2.350256210553533, 48.8602092480374], [2.350257456815653, 48.86020879178423]], [[2.350257451772388, 48.86020878989634], [2.350268667664829, 48.86020550618166]], [[2.350268662619937, 48.860205498088774], [2.35027001018546, 48.86020519182252], [2.350271417897047, 48.86020504454073], [2.350272843096771, 48.86020506065469], [2.350274242307781, 48.86020524007945], [2.350275573414644, 48.860205577064505], [2.350276795254738, 48.86020606118297], [2.350277871025705, 48.860206678050716], [2.350278768694287, 48.86020740914641], [2.350279460178484, 48.860208231451885], [2.350279924346913, 48.86020912113883], [2.350280147563041, 48.86021004997169], [2.350280123141346, 48.86021099034353], [2.350279851210543, 48.86021191347768], [2.350279340486021, 48.86021279185533], [2.350278606770328, 48.860213598046926], [2.350277671863679, 48.86021430785952], [2.350276563836478, 48.860214900157004], [2.350275316892785, 48.8602153558709]]]}"
48.839194741, 2.33871126864;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.338718962980286, 48.83918785184315], [2.338698732880313, 48.83919322049006]], [[2.338703812730059, 48.839201564588215], [2.338702676958212, 48.839201792388536], [2.338701498268828, 48.83920188646766], [2.338700312491239, 48.839201844037376], [2.338699155727371, 48.83920166635624], [2.338698063943033, 48.839201358819366], [2.338697069153383, 48.839200930958675], [2.338696202283799, 48.83920039509375], [2.338695489627856, 48.83919976858021], [2.338694952029806, 48.83919906940327], [2.338694606928187, 48.83919831959482], [2.338694464404918, 48.839197541186905], [2.338694528820195, 48.83919675890945], [2.338694797858704, 48.8391959952443], [2.338695263755849, 48.8391952745618], [2.338695912752667, 48.83919461790508], [2.338696723733572, 48.839194045777845], [2.3386976736756, 48.83919357481689], [2.338698732880313, 48.83919322049006]], [[2.338724031253059, 48.839196196839836], [2.338703814228657, 48.83920156557739]], [[2.338718957939718, 48.839187854181326], [2.338724170641517, 48.83918789089308], [2.338727817821777, 48.839190349364436], [2.33872776370503, 48.8391937903391], [2.338724037792325, 48.839196198818165]]]}"
48.8478040796, 2.34395518265;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.343965242889642, 48.84780933354173], [2.343957937537377, 48.84779577277022]], [[2.343945099534066, 48.847798785099194], [2.343944813700899, 48.847798029547604], [2.343944728844046, 48.84779725303118], [2.343944848917973, 48.847796477941515], [2.343945170110771, 48.8477957286491], [2.343945681524761, 48.847795026557264], [2.343946369673473, 48.84779439369899], [2.343947212622046, 48.8477938487804], [2.343948185028851, 48.847793407899914], [2.343949258826767, 48.84779308454834], [2.343950400770365, 48.847792888169955], [2.343951576523669, 48.847792824612064], [2.343952751750225, 48.84779289612484], [2.343953890750393, 48.84779310046223], [2.34395495891406, 48.8477934314213], [2.343955924900736, 48.847793878842104], [2.343956759413423, 48.84779442986681], [2.343957436697231, 48.84779506741074], [2.343957937537377, 48.84779577277022]], [[2.343952407744793, 48.84781234677063], [2.343945102531854, 48.84779878608822]], [[2.34396524139029, 48.84780932967495], [2.343965539623676, 48.847810088553025], [2.343965634564547, 48.84781086983503], [2.343965522530797, 48.84781165022994], [2.343965206380556, 48.84781240572709], [2.343964696330012, 48.84781311357425], [2.343964008318301, 48.847813752098055], [2.343963161691352, 48.84781430232271], [2.343962184107014, 48.84781474698054], [2.343961103904959, 48.84781507276064], [2.343959954739391, 48.847815270038836], [2.343958770946276, 48.84781533269803], [2.343957588497167, 48.84781525830807], [2.343956443773093, 48.84781504965457], [2.343955371247959, 48.84781471303036], [2.343954403079857, 48.847814258865114], [2.343953570064716, 48.847813700646135], [2.343952896322294, 48.8478130550085], [2.343952402021423, 48.84781234254438]]]}"
